-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: Latitude  47.0211   Longitude 28.8342 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 150.14 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS50M,2015,6.37,5.86,5.92,7.15,5.42,5.34,5.14,4.88,5.78,5.56,6.7,5.86,5.83
WS50M,2016,6.54,6.71,6.32,5.73,4.87,5.2,5.4,5.4,5.03,6.54,6.23,6.99,5.91
WS50M,2017,6.58,6.21,6.66,7.16,5.47,5.89,5.08,5.11,5.82,6.89,5.29,6.59,6.06
WS50M,2018,5.9,5.85,5.87,6.42,5.52,4.85,4.62,4.49,5.69,6.09,5.31,6.14,5.56
WS50M,2019,6.23,6.7,6.79,6.02,5.44,5.14,4.82,4.98,5.33,4.9,6.59,6.0,5.74
WS50M,2020,6.07,7.25,6.79,5.99,6.13,4.39,4.78,5.34,5.7,5.19,4.86,5.78,5.69
WS50M,2021,5.97,6.44,6.14,5.05,5.59,5.96,4.66,5.01,5.61,5.46,6.06,6.69,5.71
WS50M,2022,7.97,6.41,6.37,6.55,5.58,5.47,5.42,5.07,5.65,5.7,5.48,5.64,5.94
WS50M,2023,6.87,7.25,6.37,6.37,5.36,5.11,5.32,5.02,5.59,6.57,7.19,6.27,6.1
WS50M,2024,7.07,7.21,6.1,5.94,5.99,4.61,5.0,5.11,6.14,5.45,5.86,6.62,5.92
WS50M,2025,5.85,5.25,6.43,5.98,5.58,6.71,5.24,4.73,5.5,-999.0,-999.0,-999.0,-999.0
