-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: Latitude  48.1547   Longitude 27.3208 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 168.96 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS50M,2015,6.47,5.6,5.72,7.04,5.53,5.25,4.97,4.38,5.67,5.5,6.36,6.06,5.71
WS50M,2016,6.42,6.85,6.09,5.69,4.8,5.19,5.77,5.07,4.78,6.91,6.34,7.31,5.93
WS50M,2017,6.55,6.02,6.64,6.94,5.21,5.87,5.09,4.96,5.95,6.83,5.19,6.88,6.01
WS50M,2018,5.73,5.5,5.75,6.65,5.76,4.93,4.78,4.35,5.41,5.89,5.81,5.96,5.54
WS50M,2019,5.85,6.9,6.69,6.6,5.28,4.53,5.0,4.64,5.4,4.52,6.9,6.0,5.68
WS50M,2020,6.16,6.96,6.08,5.68,6.28,4.21,4.71,5.37,5.57,5.24,4.69,5.74,5.56
WS50M,2021,5.88,6.37,6.08,5.05,5.79,5.64,4.79,4.63,5.78,5.85,6.27,6.38,5.7
WS50M,2022,8.48,6.57,5.85,6.18,5.64,5.43,5.52,5.03,5.3,5.71,5.33,5.27,5.86
WS50M,2023,6.55,7.3,6.29,5.99,5.43,4.92,4.78,4.62,5.32,6.03,6.84,6.34,5.86
WS50M,2024,7.07,7.32,6.16,5.96,5.92,4.85,4.79,4.48,6.34,5.06,5.57,6.38,5.82
WS50M,2025,5.83,5.07,6.32,6.05,5.62,6.44,4.83,4.77,5.71,-999.0,-999.0,-999.0,-999.0
