-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: Latitude  45.9011   Longitude 28.197 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 118.66 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS50M,2015,6.14,6.15,6.11,7.12,5.31,5.38,4.76,4.87,5.76,5.46,6.26,5.32,5.71
WS50M,2016,6.46,6.3,6.03,5.49,4.77,5.11,5.08,5.34,4.91,5.93,6.08,6.78,5.69
WS50M,2017,6.8,6.09,6.73,6.87,5.28,5.39,4.97,5.51,5.6,6.36,5.1,6.25,5.91
WS50M,2018,5.76,6.0,5.44,6.09,5.61,4.62,4.31,4.75,5.8,5.93,5.47,5.92,5.47
WS50M,2019,6.34,6.49,6.33,6.04,5.43,5.3,4.53,4.98,5.32,4.73,6.29,6.06,5.65
WS50M,2020,5.83,7.15,7.02,5.83,6.3,4.01,4.73,5.31,5.7,5.02,4.76,5.72,5.61
WS50M,2021,5.83,6.08,6.21,4.89,5.51,6.03,4.72,4.79,5.25,5.33,5.89,6.81,5.61
WS50M,2022,7.78,6.7,6.85,6.69,5.05,5.33,5.17,5.34,5.32,5.37,5.34,5.69,5.88
WS50M,2023,6.99,7.39,6.14,6.76,5.6,4.98,5.24,4.92,5.77,6.4,7.02,6.35,6.12
WS50M,2024,6.97,6.89,5.84,5.78,5.64,4.78,5.17,5.2,6.09,5.4,5.49,6.52,5.81
WS50M,2025,5.52,5.47,6.05,5.75,5.38,6.07,4.86,4.5,5.05,-999.0,-999.0,-999.0,-999.0
