-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: Latitude  47.018   Longitude 28.8227 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 150.14 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2015,0.9185,1.8619,3.023,4.6706,6.1548,7.0416,6.3979,5.5572,3.9497,2.6371,1.2254,1.1251,3.7231
ALLSKY_SFC_SW_DWN,2016,1.1213,1.7933,3.0919,4.7045,5.4101,5.9914,6.6122,5.5512,4.1198,2.1684,1.1215,0.9437,3.5573
ALLSKY_SFC_SW_DWN,2017,1.2828,1.8871,3.2666,4.6565,6.211,6.756,6.2906,5.6486,4.1383,2.0657,0.9986,0.7298,3.6703
ALLSKY_SFC_SW_DWN,2018,1.1724,1.7556,2.8195,5.3314,6.5078,5.959,5.886,6.2808,3.7649,2.9844,1.0332,0.7692,3.7008
ALLSKY_SFC_SW_DWN,2019,0.9355,1.6699,3.3698,4.5077,5.1461,6.745,6.0922,5.7449,4.2247,2.4838,1.1998,0.9449,3.5981
ALLSKY_SFC_SW_DWN,2020,1.2658,2.1636,3.5892,5.5848,4.4916,6.2594,6.4486,6.126,4.5408,2.2176,1.1258,0.6134,3.7032
ALLSKY_SFC_SW_DWN,2021,1.0776,1.8907,3.1865,4.1578,5.1698,5.7905,6.245,5.4456,3.919,2.8699,1.464,0.6696,3.4999
ALLSKY_SFC_SW_DWN,2022,1.1362,2.1852,3.4075,4.0658,6.167,6.4198,6.2666,4.8238,3.301,2.8613,1.0817,0.8436,3.5558
ALLSKY_SFC_SW_DWN,2023,0.9082,1.9411,3.162,3.0449,5.825,6.2028,6.0828,5.7446,4.4825,2.7907,1.2658,0.8441,3.5352
ALLSKY_SFC_SW_DWN,2024,1.2053,1.8607,2.8747,4.6867,6.1428,6.4862,6.3739,5.3081,3.845,2.5949,1.4414,0.7543,3.6355
ALLSKY_SFC_SW_DWN,2025,1.2463,2.1883,3.048,5.1329,4.897,6.955,6.3355,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
