-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: Latitude  48.1664   Longitude 27.3011 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 168.96 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2015,0.8604,1.8156,3.0946,4.3944,5.8308,6.7315,6.072,5.6448,3.3634,2.437,1.1556,0.9924,3.5426
ALLSKY_SFC_SW_DWN,2016,1.0541,1.7134,2.837,4.7712,5.2102,5.7478,6.3475,5.4413,3.931,1.813,0.9595,0.8244,3.3917
ALLSKY_SFC_SW_DWN,2017,1.015,2.0311,2.9815,4.698,5.6431,6.4366,6.0619,5.3858,3.5645,2.1694,0.8798,0.6389,3.4658
ALLSKY_SFC_SW_DWN,2018,1.0987,1.7863,2.9146,5.3122,6.211,5.4317,5.5387,5.8558,3.7426,2.7946,1.0262,0.7445,3.5486
ALLSKY_SFC_SW_DWN,2019,0.9286,1.7779,3.0934,4.4438,4.7974,6.7519,5.8126,5.4485,4.0908,2.3882,1.055,0.8863,3.4632
ALLSKY_SFC_SW_DWN,2020,1.1357,1.8506,3.1968,5.3844,4.6954,5.7487,5.6818,5.8824,4.3344,1.8242,0.9874,0.5748,3.4428
ALLSKY_SFC_SW_DWN,2021,0.9996,1.8314,2.9357,4.1873,5.291,5.8958,6.113,5.297,3.6636,2.9018,1.2996,0.5611,3.4241
ALLSKY_SFC_SW_DWN,2022,0.9948,1.9529,3.4834,4.0483,6.0413,6.571,5.7665,4.6392,2.8704,2.5454,0.9665,0.7111,3.3917
ALLSKY_SFC_SW_DWN,2023,0.7958,1.8012,3.0708,3.2431,5.7914,5.6892,6.0607,5.7444,4.1986,2.3974,1.1076,0.8095,3.4037
ALLSKY_SFC_SW_DWN,2024,1.0781,1.741,2.723,4.4926,6.1097,6.4174,6.0691,5.4792,3.6694,2.3417,1.3015,0.6943,3.5143
ALLSKY_SFC_SW_DWN,2025,1.0541,2.0393,3.0396,4.7124,4.0498,6.5431,6.0586,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
