-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: Latitude  45.9056   Longitude 28.191 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 118.66 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2015,1.1306,1.9694,3.1454,4.9872,6.1997,6.8095,6.6797,5.4521,4.2799,2.5282,1.565,1.3908,3.8539
ALLSKY_SFC_SW_DWN,2016,1.343,2.0602,3.1488,4.8715,5.4595,6.4006,6.9725,5.7206,4.4227,2.3155,1.345,1.2233,3.7776
ALLSKY_SFC_SW_DWN,2017,1.2677,2.1058,3.431,4.6944,6.1517,6.7992,6.5914,5.993,4.5869,2.6542,1.2485,1.1364,3.8981
ALLSKY_SFC_SW_DWN,2018,1.3337,1.6181,2.6482,5.6909,6.3934,6.5554,5.8315,6.4123,4.1762,3.1361,1.0584,1.0058,3.8338
ALLSKY_SFC_SW_DWN,2019,1.1717,2.1079,4.0538,4.6056,5.5781,6.7327,6.277,6.1474,4.3608,2.724,1.4623,1.277,3.8849
ALLSKY_SFC_SW_DWN,2020,1.4878,2.5078,3.7543,5.8586,5.341,6.3281,6.8731,6.1882,4.7035,2.669,1.423,0.7567,3.9926
ALLSKY_SFC_SW_DWN,2021,1.151,2.0623,3.1306,4.3505,5.6201,5.8577,6.7968,6.0,4.3903,2.7511,1.5588,0.9362,3.7272
ALLSKY_SFC_SW_DWN,2022,1.4174,2.3628,3.5522,4.8156,6.4572,6.3278,6.6583,5.5118,4.1021,3.1848,1.4386,1.0529,3.9166
ALLSKY_SFC_SW_DWN,2023,1.0812,2.0746,3.3182,3.7939,5.8486,6.3979,6.2918,5.9114,4.7712,3.2138,1.5254,1.1112,3.7884
ALLSKY_SFC_SW_DWN,2024,1.3937,2.1439,2.8992,4.8554,6.1793,6.8743,6.7522,5.5241,3.9814,2.988,1.7297,0.996,3.8638
ALLSKY_SFC_SW_DWN,2025,1.5754,2.2411,3.2606,5.2517,5.5934,7.3394,6.7769,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
