year,month,ALLSKY_SFC_SW_DWN,CLOUD_AMT,PRECTOTCORR_SUM,PS,RH2M,T2M,WS50M,producere,import,procurat_din_alte_surse,variatia_stocurilor,export,consum_final_brut,consum_sector_rezidential,date,pv_energy_kwh_day,rotor_area_m2,wind_energy_kwh_day,share_solar_wind,prod_solar_wind_mwh,prod_other_mwh
2015,1,0.9185,83.43,24.81,99.92,91.74,-1.43,6.27,158952.3,861.7,256533.3,0.0,9.6,416337.7,175781.0,2015-01-01,2.81061,5026.54824574367,7285.33965145218,1.0,4163.377,412174.32300000003
2015,2,1.8619,70.81,29.13,100.08,85.59,-0.86,5.59,127353.9,881.2,242888.3,0.0,9.7,371113.7,145503.0,2015-02-01,5.697414,5026.54824574367,5162.76794709144,1.0,3711.137,367402.563
2015,3,3.023,65.36,57.77,100.38,80.26,3.85,5.69,120582.0,860.0,256506.5,0.0,9.6,377938.9,144522.0,2015-03-01,9.25038,5026.54824574367,5444.82568685062,1.0,3779.389,374159.511
2015,4,4.6706,58.4,37.14,99.78,72.91,8.87,6.87,65895.7,961.3,267982.1,0.0,9.6,334829.5,139196.0,2015-04-01,14.292036,5026.54824574367,9583.35094896383,1.0,3348.295,331481.205
2015,5,6.1548,50.86,18.16,99.72,63.48,16.98,5.41,39542.8,1.2,284465.5,0.0,9.6,323999.9,131115.0,2015-05-01,18.833688,5026.54824574367,4679.92590059824,1.0,3239.9990000000003,320759.901
2015,6,7.0416,44.47,41.19,99.87,49.87,21.84,5.25,41221.9,1751.2,273615.8,0.0,9.6,316579.3,114167.0,2015-06-01,21.547296,5026.54824574367,4276.86056603958,1.0,3165.7929999999997,313413.507
2015,7,6.3979,49.97,31.96,99.75,48.86,24.89,4.98,11026.1,1210.8,328655.8,0.0,9.7,340883.0,121252.0,2015-07-01,19.577574,5026.54824574367,3650.35590526742,1.0,3408.83,337474.17
2015,8,5.5572,44.74,23.82,100.11,44.11,24.6,4.41,30260.2,5671.1,289563.2,0.0,9.0,325485.5,150033.0,2015-08-01,17.005032,5026.54824574367,2534.91236493392,1.0,3254.855,322230.645
2015,9,3.9497,54.97,30.07,100.05,56.58,19.85,5.63,33149.5,1614.2,287584.0,0.0,9.5,322338.2,139088.0,2015-09-01,12.086082,5026.54824574367,5274.39153808316,1.0,3223.382,319114.818
2015,10,2.6371,61.47,53.42,100.56,65.11,8.98,5.34,58874.9,921.6,304695.0,0.0,9.0,364482.5,132200.0,2015-10-01,8.069526,5026.54824574367,4500.60556147738,1.0,3644.825,360837.675
2015,11,1.2254,73.69,60.53,100.04,80.29,5.33,6.34,111356.9,1521.0,251953.0,0.0,9.8,364821.1,141181.0,2015-11-01,3.749724,5026.54824574367,7532.08053691325,1.0,3648.211,361172.88899999997
2015,12,1.1251,58.82,4.31,101.14,88.76,0.69,5.66,136227.7,1431.6,259666.0,0.0,9.7,397315.6,136391.0,2015-12-01,3.442806,5026.54824574367,5359.15693609038,1.0,3973.156,393342.44399999996
2016,1,1.1213,81.88,33.95,99.93,87.07,-4.18,6.29,172489.0,1243.4,228495.4,0.0,7.9,402219.9,169643.9,2016-01-01,3.431178,5026.54824574367,7355.27843693855,1.4,5631.0786,396588.8214
2016,2,1.7933,79.09,35.24,99.92,86.22,2.83,6.8,118096.1,1363.6,222510.3,0.0,7.0,341963.0,140184.0,2016-02-01,5.487498,5026.54824574367,9293.38479387336,1.4,4787.482,337175.518
2016,3,3.0919,71.3,30.21,99.67,75.02,5.23,6.07,112570.4,1114.2,242079.5,0.0,7.0,355757.1,139783.0,2016-03-01,9.461214,5026.54824574367,6610.1795259011,1.4,4980.599399999999,350776.50059999997
2016,4,4.7045,63.25,44.46,99.47,69.18,12.9,5.64,38172.1,4.1,272434.7,0.0,7.0,310603.9,126768.8,2016-04-01,14.39577,5026.54824574367,5302.54659378516,1.4,4348.4546,306255.4454
2016,5,5.4101,64.56,88.52,99.59,69.15,15.57,4.61,35192.9,2.8,272052.4,0.0,7.0,307241.1,130216.2,2016-05-01,16.554906,5026.54824574367,2895.67593987892,1.4,4301.375399999999,302939.72459999996
2016,6,5.9914,60.74,123.87,99.69,71.54,21.25,5.05,36973.0,3.5,272078.0,0.0,7.2,309047.3,120989.7,2016-06-01,18.333684,5026.54824574367,3806.46039784139,1.4,4326.6622,304720.63779999997
2016,7,6.6122,37.2,29.66,99.73,55.65,23.77,5.46,14509.6,2.0,316383.4,0.0,7.7,330887.3,122976.0,2016-07-01,20.233332,5026.54824574367,4810.88648375754,1.4,4632.4222,326254.8778
2016,8,5.5512,37.93,50.1,100.01,55.1,22.87,5.09,3848.6,3.2,331603.4,0.0,6.9,335448.3,125386.0,2016-08-01,16.986672,5026.54824574367,3897.62927349247,1.4,4696.276199999999,330752.02379999997
