date,ALLSKY_SFC_SW_DWN,CLOUD_AMT,PRECTOTCORR_SUM,PS,RH2M,T2M,WS50M,producere,import,procurat_din_alte_surse,variatia_stocurilor,export,consum_final_brut,consum_sector_rezidential,pv_energy_kwh_day,rotor_area_m2,wind_energy_kwh_day
2015-01,0.9185,83.43,24.81,99.92,91.74,-1.43,6.27,158952.3,861.7,256533.3,0,9.6,416337.7,175781,2.81061,5026.54824574367,7285.33965145218
2015-02,1.8619,70.81,29.13,100.08,85.59,-0.86,5.59,127353.9,881.2,242888.3,0,9.7,371113.7,145503,5.697414,5026.54824574367,5162.76794709144
2015-03,3.023,65.36,57.77,100.38,80.26,3.85,5.69,120582,860,256506.5,0,9.6,377938.9,144522,9.25038,5026.54824574367,5444.82568685062
2015-04,4.6706,58.4,37.14,99.78,72.91,8.87,6.87,65895.7,961.3,267982.1,0,9.6,334829.5,139196,14.292036,5026.54824574367,9583.35094896383
2015-05,6.1548,50.86,18.16,99.72,63.48,16.98,5.41,39542.8,1.2,284465.5,0,9.6,323999.9,131115,18.833688,5026.54824574367,4679.92590059824
2015-06,7.0416,44.47,41.19,99.87,49.87,21.84,5.25,41221.9,1751.2,273615.8,0,9.6,316579.3,114167,21.547296,5026.54824574367,4276.86056603958
2015-07,6.3979,49.97,31.96,99.75,48.86,24.89,4.98,11026.1,1210.8,328655.8,0,9.7,340883,121252,19.577574,5026.54824574367,3650.35590526742
2015-08,5.5572,44.74,23.82,100.11,44.11,24.6,4.41,30260.2,5671.1,289563.2,0,9,325485.5,150033,17.005032,5026.54824574367,2534.91236493392
2015-09,3.9497,54.97,30.07,100.05,56.58,19.85,5.63,33149.5,1614.2,287584,0,9.5,322338.2,139088,12.086082,5026.54824574367,5274.39153808316
2015-10,2.6371,61.47,53.42,100.56,65.11,8.98,5.34,58874.9,921.6,304695,0,9,364482.5,132200,8.069526,5026.54824574367,4500.60556147738
2015-11,1.2254,73.69,60.53,100.04,80.29,5.33,6.34,111356.9,1521,251953,0,9.8,364821.1,141181,3.749724,5026.54824574367,7532.08053691325
2015-12,1.1251,58.82,4.31,101.14,88.76,0.69,5.66,136227.7,1431.6,259666,0,9.7,397315.6,136391,3.442806,5026.54824574367,5359.15693609038
2016-01,1.1213,81.88,33.95,99.93,87.07,-4.18,6.29,172489,1243.4,228495.4,0,7.9,402219.9,169643.9,3.431178,5026.54824574367,7355.27843693855
2016-02,1.7933,79.09,35.24,99.92,86.22,2.83,6.8,118096.1,1363.6,222510.3,0,7,341963,140184,5.487498,5026.54824574367,9293.38479387336
2016-03,3.0919,71.3,30.21,99.67,75.02,5.23,6.07,112570.4,1114.2,242079.5,0,7,355757.1,139783,9.461214,5026.54824574367,6610.1795259011
2016-04,4.7045,63.25,44.46,99.47,69.18,12.9,5.64,38172.1,4.1,272434.7,0,7,310603.9,126768.8,14.39577,5026.54824574367,5302.54659378516
2016-05,5.4101,64.56,88.52,99.59,69.15,15.57,4.61,35192.9,2.8,272052.4,0,7,307241.1,130216.2,16.554906,5026.54824574367,2895.67593987892
2016-06,5.9914,60.74,123.87,99.69,71.54,21.25,5.05,36973,3.5,272078,0,7.2,309047.3,120989.7,18.333684,5026.54824574367,3806.46039784139
2016-07,6.6122,37.2,29.66,99.73,55.65,23.77,5.46,14509.6,2,316383.4,0,7.7,330887.3,122976,20.233332,5026.54824574367,4810.88648375754
2016-08,5.5512,37.93,50.1,100.01,55.1,22.87,5.09,3848.6,3.2,331603.4,0,6.9,335448.3,125386,16.986672,5026.54824574367,3897.62927349247
2016-09,4.1198,46.78,27.97,100.07,55.04,18.74,4.76,16395,2,313044.5,0,7,329434.5,133283.8,12.606588,5026.54824574367,3187.63098429856
2016-10,2.1684,73.3,137.57,100.51,78.5,7.25,6.7,76856.3,2,297707.1,0,7,374558.4,132242.3,6.635304,5026.54824574367,8889.38241260347
2016-11,1.1215,78.72,54.54,100.22,88.7,2.11,6.27,122106.9,2,272364.1,0,7,394466,145461.3,3.43179,5026.54824574367,7285.33965145218
2016-12,0.9437,75.4,19.45,100.71,87.64,-1.69,6.88,149974.8,2,277389,0,7,427358.8,146850.4,2.887722,5026.54824574367,9625.26058774991
2017-01,1.2828,71.54,25.08,100.5,90.76,-6.94,6.43,173440.6,4.6,254979.4,0,7.2,428417.4,166092.8,3.925368,5026.54824574367,7857.42239250426
2017-02,1.8871,80.6,31.33,100.5,91.18,-2.8,5.9,146166.9,4.7,227155.6,0,7.3,373319.9,147031.2,5.774526,5026.54824574367,6070.20301871603
2017-03,3.2666,65.16,39.71,99.86,82.02,6.28,6.65,107875.5,7,250225.8,0,7.3,358101,142911.1,9.995796,5026.54824574367,8691.84788813791
2017-04,4.6565,62.2,86.47,99.87,75.21,8.8,7.18,43568.2,280057.8,0,0,7,323619,125636,14.24889,5026.54824574367,10940.080411594
2017-05,6.211,45.09,50.51,99.85,70.37,15.56,5.29,28043,283940.1,0,0,7.1,311976,137763.5,19.00566,5026.54824574367,4375.36408438112
2017-06,6.756,44.01,54.52,99.64,62.05,21.42,5.88,17109.9,131120,169476.8,0,7.4,317699.3,121819.8,20.67336,5026.54824574367,6008.68116132485
2017-07,6.2906,50.91,67.73,99.68,56.99,22.81,4.96,10894.2,93056.5,228336.1,0,7.4,332279.4,119316.4,19.249236,5026.54824574367,3606.55210446448
2017-08,5.6486,34.21,36.45,99.98,51.72,24.01,4.92,8881.6,97120,239888.9,0,7,345883.5,128881.3,17.284716,5026.54824574367,3519.99859174043
2017-09,4.1383,48.65,35.44,99.92,58.74,18.08,5.75,31133,84756.9,252254.7,0,0,368144.6,130286.9,12.663198,5026.54824574367,5618.89239898537
2017-10,2.0657,71.23,49.55,99.98,70.29,10.48,6.75,66087.7,58922.3,252253,0,7.3,377255.7,129014.9,6.321042,5026.54824574367,9089.88732548936
2017-11,0.9986,82.36,37.97,100.11,86.31,4.45,5.19,121540.3,49662.6,217915.9,0,7.1,389111.7,143030.5,3.055716,5026.54824574367,4131.89479359305
2017-12,0.7298,84.85,65.82,99.77,91.61,1.07,6.67,129856.1,55296.8,231255.3,0,7.7,416400.5,144110.3,2.233188,5026.54824574367,8770.50667000667
2018-01,1.1724,75.08,44.87,100.31,91.49,-2.76,5.83,145717,47950.2,222689.4,0,7.4,416349.2,163174,3.587544,5026.54824574367,5856.69820829754
2018-02,1.7556,87.12,47.75,100.06,88.3,-2.48,5.54,124075.1,48092.1,213332.6,0,7.5,385492.3,143337.4,5.372136,5026.54824574367,5025.46757969172
2018-03,2.8195,78.33,89.16,99.32,88.83,0.05,5.67,148091.1,50210,216700.2,0,6.9,414994.4,148972,8.62767,5026.54824574367,5387.61257736685
2018-04,5.3314,46.8,12.33,99.98,73.49,13.63,6.53,45803.8,80876.9,228925.7,0,7.3,355599.1,129358.9,16.314084,5026.54824574367,8229.75156638223
2018-05,6.5078,43,24.21,99.91,64.98,18.41,5.55,49472.9,83688.6,239812,0,7.8,372965.9,133346.4,19.913868,5026.54824574367,5052.73045484788
2018-06,5.959,62.19,135.28,99.52,65.19,21.8,4.78,12981.7,93223.8,240820.3,0,8.2,347017.6,123341.5,18.23454,5026.54824574367,3227.9802677028
2018-07,5.886,61.37,99.16,99.34,71.94,22.08,4.52,19340.4,94915.4,228622.2,0,8.1,342869.9,120711,18.01116,5026.54824574367,2729.37045367911
2018-08,6.2808,21.73,4.97,100,54.85,24.03,4.34,19110.4,96780,248947.5,0,10.2,364827.7,127389.4,19.219248,5026.54824574367,2416.10814810804
2018-09,3.7649,51.41,36.49,100.2,60.48,17.87,5.46,19156.3,88944.1,231963.5,0,6.9,340057,130483.7,11.520594,5026.54824574367,4810.88648375754
2018-10,2.9844,42.65,6.33,100.35,66.05,12.15,5.86,52424.3,100855.1,254980.1,0,7,408252.5,130753,9.132264,5026.54824574367,5947.57639966888
2018-11,1.0332,76.42,51.49,100.89,87.04,0.93,5.5,131214.9,88355,300452.4,0,7.4,520014.9,144528.8,3.161592,5026.54824574367,4917.39675058735
2018-12,0.7692,86.54,37.5,100.18,95.53,-4.04,5.93,164042.9,81930,337280.8,0,8.5,583245.2,146442.7,2.353752,5026.54824574367,6163.27096269718
2019-01,0.9355,84.96,63.56,99.43,93.78,-4.95,5.87,167213.6,79167.7,145815.7,0,7,392190,172077.3,2.86263,5026.54824574367,5978.07673219828
2019-02,1.6699,77.7,28.25,100.42,86.57,0.48,6.7,128858.7,70854.1,167689.4,0,7,367395.2,148250.7,5.109894,5026.54824574367,8889.38241260347
2019-03,3.3698,59.25,14.14,99.92,75.08,5.57,6.62,117223.5,74628.9,182782.8,0,7.3,374627.9,139361.6,10.311588,5026.54824574367,8574.74373839599
2019-04,4.5077,60.26,42.55,100.05,68.74,9.99,6.22,59048.3,43795.3,250198.2,0,7.5,353034.3,134742.4,13.793562,5026.54824574367,7112.43541043146
2019-05,5.1461,69.7,86.55,99.43,72.49,17.06,5.17,47630,41103,238748.8,0,7.9,327473.9,152761.3,15.747066,5026.54824574367,4084.31106268984
2019-06,6.745,47.82,80.28,99.97,68.38,23.21,4.68,23338.6,47312.8,269228.4,0,7.4,339872.4,123664.6,20.6397,5026.54824574367,3029.59615303682
2019-07,6.0922,54.16,32.17,99.54,56.65,22.53,4.72,17652.6,47932.5,271964.9,0,8.2,337541.8,127563.4,18.642132,5026.54824574367,3107.9439455826
2019-08,5.7449,34.43,32.16,99.99,50.87,23.8,4.69,12598.5,50507.3,291842,0,8.1,354939.7,130499.5,17.579394,5026.54824574367,3049.05816752299
2019-09,4.2247,57.53,27.5,100.13,53.1,18.43,5.14,20258.8,46044.3,276806.5,0,9.6,343100,129705.5,12.927582,5026.54824574367,4013.6226457457
2019-10,2.4838,57.08,23.57,100.19,69.99,11.81,4.75,50966.8,46352.8,268977.2,0,0,366296.8,129792,7.600428,5026.54824574367,3167.58304961294
2019-11,1.1998,81.09,16.97,100.03,80.45,7,6.67,112892.7,44322.9,222048.5,0,8.1,379256,139073.6,3.671388,5026.54824574367,8770.50667000667
2019-12,0.9449,74.88,24.47,99.9,87.4,2.01,5.85,134939.9,47043.6,238664.5,0,7.7,420640.3,143327.9,2.891394,5026.54824574367,5917.17998640004
2020-01,1.2658,60.25,6.53,100.67,82.86,-0.77,5.97,133546.5,45245.8,229792.5,0,7.6,408577.2,175413.7,3.873348,5026.54824574367,6288.83463087971
2020-02,2.1636,72.35,39.18,99.72,76.29,2.55,7.04,117090.4,43316.1,207881.9,0,7.6,368280.8,143245.5,6.620616,5026.54824574367,10312.5284302878
2020-03,3.5892,60.74,27.25,100.09,69.03,6.47,6.38,106650.4,41705.1,210980.9,0,7.6,359328.8,141782.6,10.982952,5026.54824574367,7675.54491840479
2020-04,5.5848,42.61,118.73,100.1,52.4,9.96,5.6,59937.9,5.3,253977.1,0,9.3,313911,138102,17.089488,5026.54824574367,5190.52470474018
2020-05,4.4916,78.11,72.45,99.71,69.35,13.59,6.06,44522.2,4.2,265818.2,0,9.8,310334.8,150033.2,13.744296,5026.54824574367,6577.56356746993
2020-06,6.2594,60.15,77.03,99.3,64.79,21.62,4.01,51885.7,3.6,269362.8,0,8,321244.1,131279.1,19.153764,5026.54824574367,1905.81306248757
2020-07,6.4486,52.26,47.91,99.77,56.25,23.33,4.7,22306.9,4.8,332210.1,0,7,354514.8,135606.7,19.732716,5026.54824574367,3068.60335288493
2020-08,6.126,28.7,22.88,99.76,49.2,23.53,5.34,16854.5,4.6,340034.5,0,6.9,356886.7,134929.9,18.74556,5026.54824574367,4500.60556147738
2020-09,4.5408,33.89,35.89,100.04,52.42,19.74,5.66,80818.2,3,322085.9,0,8,402899.1,127992.3,13.894848,5026.54824574367,5359.15693609038
2020-10,2.2176,72.89,69.03,99.9,77,13.96,5.12,247967.6,14878,294659.7,0,7.4,557497.9,133223.3,6.785856,5026.54824574367,3966.95308512947
2020-11,1.1258,77.68,22.37,100.93,84.06,3.69,4.67,136048.3,10804.8,258838.8,0,6.9,405685,148189,3.444948,5026.54824574367,3010.2171320898
2020-12,0.6134,87.93,52.54,100.34,92.42,0.22,5.67,166525,11145,265642.6,0,6.9,443305.7,169711.5,1.877004,5026.54824574367,5387.61257736685
2021-01,1.0776,78.5,37.5,99.56,88.82,-1.21,5.77,162667.4,2.3,260284.6,0,6.9,422947.4,182030.2,3.297456,5026.54824574367,5677.72849323469
2021-02,1.8907,75.21,37.75,100.3,89.41,-2.47,6.19,164333,1.7,235922.5,0,6.9,400250.3,153888.7,5.785542,5026.54824574367,7010.01792505943
2021-03,3.1865,64.02,42.64,100.1,80.42,2.21,5.96,162992.6,3.6,247176.4,0,6.9,410165.7,160436.7,9.75069,5026.54824574367,6257.28535223053
2021-04,4.1578,62.76,46.87,99.9,76.12,7.13,4.89,88815.7,20873.7,241679.3,0,6.9,351361.8,154590.5,12.722868,5026.54824574367,3456.00019886539
2021-05,5.1698,67.05,84.34,99.63,75.36,14.47,5.69,45887.7,25972.9,202249,0,7,274102.6,150496.9,15.819588,5026.54824574367,5444.82568685062
2021-06,5.7905,63.62,105.61,99.75,77.21,19.88,5.59,27714.7,26846.9,253575,0,8.3,308128.3,133431.1,17.71893,5026.54824574367,5162.76794709144
2021-07,6.245,44.45,74.37,99.68,64.88,24.35,4.63,19458.1,39430.3,269019,0,7.3,327900.1,139749.5,19.1097,5026.54824574367,2933.52743696074
2021-08,5.4456,39.84,88.08,99.77,61.43,22.19,4.78,15028.8,39604,278141,0,8,332765.8,139783.1,16.663536,5026.54824574367,3227.9802677028
2021-09,3.919,55.6,12.8,100.17,63.25,15.15,5.51,17628.8,4629,276439,0,8.2,298688.6,142377.6,11.99214,5026.54824574367,4944.26771180864
2021-10,2.8699,45.66,6.72,100.78,67.59,8.31,5.4,63343.7,2960,279794,0,9.7,346088,149682.7,8.781894,5026.54824574367,4654.02231065055
2021-11,1.464,60.34,16,100.14,82.15,5.05,6.13,132496.4,755,228952,0,9.3,362194.1,153890.3,4.47984,5026.54824574367,6808.1419931919
2021-12,0.6696,88.67,83.3,99.72,88.39,-0.87,6.41,144925.9,447.2,231958,0,7.6,377323.5,164888.5,2.048976,5026.54824574367,7784.33056187678
2022-01,1.1362,76.1,15.82,99.95,83.95,-1.32,8.03,165348.9,5.4,237766,0,6.9,403113.4,183054,3.476772,5026.54824574367,15303.6074537859
2022-02,2.1852,68.81,11.02,99.99,82.21,1.56,6.35,124282.3,7.3,242152,0,6.9,366434.7,158264,6.686712,5026.54824574367,7567.77754181695
2022-03,3.4075,58.93,11.85,100.73,70.17,2.39,5.86,137072.4,0,250473,0,11.2,387534.2,159927,10.42695,5026.54824574367,5947.57639966888
2022-04,4.0658,76.14,84.49,99.5,71.48,9.49,6.2,41488.3,0,287104,0,6.9,328585.4,147560,12.441348,5026.54824574367,7044.04707903219
2022-05,6.167,51.8,22.19,100.05,59.28,16.08,5.47,44469.6,56008,229856.4,0,6.9,330327.1,145802,18.87102,5026.54824574367,4837.36836842993
2022-06,6.4198,47.56,22.27,99.81,53.11,22.51,5.35,11874.2,102576.3,233623.4,0,4840.3,343233.6,126262,19.644588,5026.54824574367,4525.93724081876
2022-07,6.2666,46.79,42.43,99.87,48.56,24.12,5.47,11856.4,114380.4,240388.2,0,12717.2,353907.8,131467,19.175796,5026.54824574367,4837.36836842993
2022-08,4.8238,56.11,58.87,99.64,59.38,24.33,4.94,10930.1,116097.7,243025.1,0,10928.4,359124.5,132023,14.760828,5026.54824574367,3563.10013951981
2022-09,3.301,72.37,71.33,99.61,68.84,16.02,5.4,11487.6,114907.7,221127,0,19177.6,328344.7,135049,10.10106,5026.54824574367,4654.02231065055
2022-10,2.8613,50.6,18.8,100.53,70.5,11.55,5.51,43325.6,107917.7,219584.1,0,24386.2,346441.3,133734,8.755578,5026.54824574367,4944.26771180864
2022-11,1.0817,75.95,79.69,100.17,87.01,4.19,5.3,81198.8,311396,0,0,6825.5,385769.3,137233,3.310002,5026.54824574367,4400.22404830769
2022-12,0.8436,79.71,27.01,100.27,91.59,-0.23,5.36,110430.1,125130.6,190767.1,0,15318,411009.9,137177,2.581416,5026.54824574367,4551.36379525298
2023-01,0.9082,86.78,14.15,100.21,89.89,1.93,6.65,126707,35457.4,241608.3,0,12779.8,390992.9,160395,2.779092,5026.54824574367,8691.84788813791
2023-02,1.9411,75.27,139.01,100.42,83.51,0.17,7.08,102912.7,44766.4,221034,0,17539.2,351173.9,139446,5.939766,5026.54824574367,10489.3108163413
2023-03,3.162,67.67,24.27,99.53,78.22,5.37,6.19,133905.8,22500.4,227584.8,0,23381.2,360609.8,136966,9.67572,5026.54824574367,7010.01792505943
2023-04,3.0449,83.75,134.38,99.55,82.78,8.59,6.08,69938.4,72156.4,261708.2,0,70770.8,333032.2,136611,9.317394,5026.54824574367,6642.90312766188
2023-05,5.825,58.84,24.96,100.25,71.98,15.15,5.26,47446.9,35815.5,277890.4,0,48845,312307.8,137268,17.8245,5026.54824574367,4301.34634969349
2023-06,6.2028,56.53,28.92,99.8,64.16,20.66,4.87,15244.5,27943.2,299777.6,0,30013.1,312952.2,126004,18.980568,5026.54824574367,3413.76848721746
2023-07,6.0828,50.5,66.3,99.59,58.72,24.15,4.9,18281.3,25241.2,315837.2,0,37607.5,321752.2,125860,18.613368,5026.54824574367,3477.24604243336
